"County","State","Outbreak Date","Flock Type","Flock Size"
"Lehigh","Pennsylvania","11-04-2022","Commercial Turkey Meat Bird","14500"
"Sullivan","New York","11-04-2022","WOAH Non-Poultry","110"
"Middlesex","Massachusetts","11-03-2022","WOAH Non-Poultry","20"
"Yamhill","Oregon","11-03-2022","WOAH Poultry","150"
"Broward","Florida","11-03-2022","WOAH Non-Poultry","70"
"San Diego","California","11-03-2022","WOAH Poultry","150"
"Beaufort","South Carolina","11-03-2022","WOAH Non-Poultry","170"
"Marathon","Wisconsin","11-03-2022","WOAH Non-Poultry","30"
"Bottineau","North Dakota","11-03-2022","WOAH Poultry","130"
"Yavapai","Arizona","11-03-2022","WOAH Non-Poultry","30"
"Lehigh","Pennsylvania","11-03-2022","Commercial Turkey Meat Bird","28500"
"Waukesha","Wisconsin","11-02-2022","WOAH Non-Poultry","10"
"Allegheny","Pennsylvania","11-02-2022","WOAH Non-Poultry","20"
"Yavapai","Arizona","11-02-2022","WOAH Non-Poultry","50"
"Bergen","New Jersey","11-02-2022","WOAH Non-Poultry","60"
"Gregory","South Dakota","11-01-2022","Commercial Upland Gamebird Producer","3000"
"Stearns","Minnesota","11-01-2022","Commercial Turkey Meat Bird","8500"
"Wayne","New York","11-01-2022","WOAH Non-Poultry","10"
"Deschutes","Oregon","11-01-2022","WOAH Non-Poultry","8"
"Granite","Montana","11-01-2022","WOAH Poultry","40"
"Swift","Minnesota","10-31-2022","Commercial Turkey Meat Bird","45600"
"Tipton","Tennessee","10-31-2022","WOAH Non-Poultry","90"
"Wright","Iowa","10-31-2022","Commercial Table Egg Layer","1100000"
"Hillsborough","Florida","10-28-2022","WOAH Non-Poultry","40"
"Stearns","Minnesota","10-27-2022","Commercial Turkey Meat Bird","75000"
"Le Sueur","Minnesota","10-27-2022","Commercial Turkey Meat Bird","20100"
"Pasco","Florida","10-26-2022","WOAH Non-Poultry","40"
"La Plata","Colorado","10-26-2022","WOAH Non-Poultry","20"
"Martin","Florida","10-25-2022","WOAH Non-Poultry","30"
"Swift","Minnesota","10-25-2022","Commercial Turkey Meat Bird","33800"
"Lake","Florida","10-25-2022","WOAH Non-Poultry","9"
"Sanpete","Utah","10-25-2022","Commercial Turkey Meat Bird","3900"
"Indian River","Florida","10-25-2022","WOAH Non-Poultry","30"
"Grant","South Dakota","10-25-2022","WOAH Non-Poultry","50"
"Indian River","Florida","10-25-2022","WOAH Poultry","50"
"Southampton","Virginia","10-22-2022","WOAH Non-Poultry","170"
"Ocean","New Jersey","10-22-2022","WOAH Non-Poultry","90"
"Wake","North Carolina","10-21-2022","WOAH Non-Poultry","170"
"Itasca","Minnesota","10-21-2022","WOAH Non-Poultry","40"
"Cleveland","Oklahoma","10-21-2022","WOAH Non-Poultry","30"
"Dallas","Iowa","10-20-2022","WOAH Non-Poultry","50"
"Valley","Idaho","10-20-2022","WOAH Non-Poultry","20"
"Okeechobee","Florida","10-20-2022","WOAH Non-Poultry","2"
"Newport","Rhode Island","10-20-2022","WOAH Non-Poultry","60"
"Creek","Oklahoma","10-20-2022","WOAH Non-Poultry","50"
"Hill","Montana","10-20-2022","WOAH Non-Poultry","60"
"Indian River","Florida","10-20-2022","WOAH Non-Poultry","60"
"Jefferson","Colorado","10-20-2022","WOAH Poultry","50"
"Spink","South Dakota","10-20-2022","WOAH Non-Poultry","160"
"Virginia Beach City","Virginia","10-20-2022","WOAH Non-Poultry","10"
"Rockwall","Texas","10-19-2022","WOAH Non-Poultry","50"
"Roberts","South Dakota","10-19-2022","Commercial Breeder Operation","3600"
"Sanpete","Utah","10-19-2022","Commercial Turkey Meat Bird","9400"
"Shawnee","Kansas","10-19-2022","WOAH Poultry","120"
"St. Lucie","Florida","10-18-2022","WOAH Non-Poultry","6"
"Jackson","Missouri","10-18-2022","WOAH Non-Poultry","40"
"Traill","North Dakota","10-18-2022","WOAH Non-Poultry","90"
"Sanpete","Utah","10-18-2022","Commercial Turkey Meat Bird","100800"
"York","Nebraska","10-18-2022","Commercial Upland Gamebird Producer","34900"
"Indian River","Florida","10-18-2022","WOAH Non-Poultry","300"
"Osceola","Florida","10-18-2022","WOAH Non-Poultry","20"
"Adams","Pennsylvania","10-17-2022","Commercial Turkey Meat Bird","15100"
"Nye","Nevada","10-17-2022","WOAH Poultry","1600"
"Tulsa","Oklahoma","10-14-2022","WOAH Non-Poultry","30"
"La Plata","Colorado","10-14-2022","WOAH Non-Poultry","40"
"Larimer","Colorado","10-14-2022","WOAH Non-Poultry","20"
"Pope","Arkansas","10-14-2022","WOAH Non-Poultry","470"
"Broward","Florida","10-14-2022","WOAH Poultry","300"
"Matanuska Susitna","Alaska","10-14-2022","WOAH Poultry","1000"
"Stanislaus","California","10-13-2022","Commercial Turkey Meat Bird","54900"
"Saint Croix","Wisconsin","10-13-2022","WOAH Non-Poultry","20"
"Warren","New Jersey","10-13-2022","WOAH Non-Poultry","6"
"Sanpete","Utah","10-13-2022","Commercial Turkey Meat Bird","100000"
"Beadle","South Dakota","10-12-2022","Commercial Turkey Meat Bird","71400"
"Fremont","Wyoming","10-12-2022","WOAH Non-Poultry","30"
"Hamlin","South Dakota","10-12-2022","WOAH Non-Poultry","20"
"Sanpete","Utah","10-12-2022","Commercial Turkey Meat Bird","52800"
"Genesee","Michigan","10-12-2022","WOAH Non-Poultry","20"
"Weld","Colorado","10-12-2022","WOAH Non-Poultry","40"
"Gregory","South Dakota","10-11-2022","Commercial Upland Gamebird Producer","200"
"Logan","Kentucky","10-11-2022","WOAH Non-Poultry","190"
"Broward","Florida","10-11-2022","WOAH Non-Poultry","40"
"Martin","Florida","10-11-2022","WOAH Non-Poultry","50"
"Adams","Pennsylvania","10-11-2022","WOAH Poultry","2800"
"Lapeer","Michigan","10-11-2022","WOAH Poultry","40"
"Sanpete","Utah","10-07-2022","Commercial Turkey Meat Bird","38900"
"Madison","Arkansas","10-07-2022","Commercial Broiler Breeder Pullets","56000"
"Sanpete","Utah","10-07-2022","Commercial Turkey Meat Bird","26700"
"Johnson","Kansas","10-07-2022","WOAH Poultry","6"
"Pope","Minnesota","10-07-2022","WOAH Non-Poultry","30"
"Lapeer","Michigan","10-07-2022","WOAH Poultry","100"
"Neosho","Kansas","10-07-2022","WOAH Poultry","2000"
"Boulder","Colorado","10-07-2022","WOAH Poultry","600"
"Fayette","Kentucky","10-06-2022","WOAH Poultry","150"
"Brule","South Dakota","10-06-2022","Commercial Upland Gamebird Producer","500"
"Hampton City","Virginia","10-06-2022","WOAH Non-Poultry","40"
"Matanuska Susitna","Alaska","10-05-2022","WOAH Non-Poultry","40"
"Matanuska Susitna","Alaska","10-05-2022","WOAH Poultry","10"
"Glacier","Montana","10-05-2022","WOAH Non-Poultry","1100"
"Monroe","Pennsylvania","10-05-2022","WOAH Non-Poultry","40"
"Berks","Pennsylvania","10-05-2022","WOAH Non-Poultry","10"
"New Haven","Connecticut","10-05-2022","WOAH Non-Poultry","50"
"Monterey","California","10-04-2022","Commercial Duck Breeder","15100"
"Westmoreland","Pennsylvania","10-04-2022","WOAH Non-Poultry","160"
"York","Nebraska","10-04-2022","Commercial Upland Gamebird Producer","139500"
"Box Butte","Nebraska","10-04-2022","WOAH Non-Poultry","100"
"Del Norte","California","10-04-2022","WOAH Poultry","43000"
"Bernalillo","New Mexico","10-04-2022","WOAH Non-Poultry","40"
"Cache","Utah","10-03-2022","WOAH Non-Poultry","320"
"Tuscola","Michigan","10-03-2022","WOAH Poultry","140"
"Stanislaus","California","10-03-2022","Commercial Turkey Meat Bird","51000"
"Portage","Ohio","10-03-2022","WOAH Non-Poultry","50"
"Calaveras","California","10-03-2022","WOAH Non-Poultry","20"
"Nelson","North Dakota","09-30-2022","WOAH Non-Poultry","50"
"Douglas","Oregon","09-30-2022","WOAH Non-Poultry","30"
"Sanpete","Utah","09-29-2022","Commercial Turkey Meat Bird","19300"
"York","Pennsylvania","09-29-2022","Commercial Turkey Meat Bird","25900"
"Dunn","Wisconsin","09-29-2022","Commercial Turkey Meat Bird","79500"
"Mesa","Colorado","09-29-2022","WOAH Non-Poultry","40"
"Sanpete","Utah","09-29-2022","Commercial Turkey Meat Bird","19900"
"Lancaster","Pennsylvania","09-29-2022","WOAH Non-Poultry","180"
"Racine","Wisconsin","09-28-2022","Commercial Duck Meat Bird","10000"
"Tillamook","Oregon","09-28-2022","WOAH Non-Poultry","40"
"Tillamook","Oregon","09-28-2022","WOAH Non-Poultry","10"
"Sanpete","Utah","09-28-2022","Commercial Turkey Meat Bird","24400"
"Sanpete","Utah","09-27-2022","Commercial Turkey Meat Bird","127200"
"Ransom","North Dakota","09-27-2022","Commercial Turkey Meat Bird","69100"
"Sanpete","Utah","09-27-2022","Commercial Turkey Meat Bird","36700"
"Goodhue","Minnesota","09-27-2022","WOAH Non-Poultry","80"
"Dallas","Texas","09-24-2022","WOAH Non-Poultry","60"
"Kent","Delaware","09-24-2022","WOAH Non-Poultry","30"
"Kent","Delaware","09-24-2022","WOAH Non-Poultry","10"
"Mcpherson","South Dakota","09-24-2022","Commercial Turkey Meat Bird","56900"
"Merrimack","New Hampshire","09-23-2022","WOAH Poultry","250"
"Anne Arundel","Maryland","09-22-2022","WOAH Non-Poultry","4"
"Ward","North Dakota","09-22-2022","WOAH Poultry","60"
"Kingsbury","South Dakota","09-22-2022","WOAH Non-Poultry","250"
"Todd","Minnesota","09-22-2022","WOAH Non-Poultry","50"
"Sanpete","Utah","09-21-2022","Commercial Turkey Meat Bird","11100"
"Gooding","Idaho","09-21-2022","Commercial Upland Gamebird Producer","9000"
"Weld","Colorado","09-21-2022","Commercial Table Egg Layer","1150000"
"Otter Tail","Minnesota","09-21-2022","Commercial Turkey Meat Bird","5900"
"Roseau","Minnesota","09-21-2022","Commercial Turkey Meat Bird","116000"
"Clark","South Dakota","09-20-2022","Commercial Turkey Meat Bird","23900"
"Clark","South Dakota","09-20-2022","Commercial Turkey Meat Bird","41700"
"Stearns","Minnesota","09-20-2022","Commercial Turkey Meat Bird","64600"
"Sanpete","Utah","09-20-2022","Commercial Turkey Meat Bird","73200"
"Brown","Minnesota","09-20-2022","Commercial Turkey Meat Bird","43000"
"Washington","Pennsylvania","09-20-2022","WOAH Poultry","1800"
"Fresno","California","09-20-2022","WOAH Non-Poultry","100"
"Macomb","Michigan","09-19-2022","WOAH Non-Poultry","40"
"Dawes","Nebraska","09-19-2022","WOAH Non-Poultry","40"
"Pierce","Washington","09-16-2022","WOAH Non-Poultry","30"
"Obion","Tennessee","09-15-2022","WOAH Poultry","130"
"Bristol","Massachusetts","09-15-2022","WOAH Non-Poultry","50"
"Teton","Montana","09-15-2022","WOAH Poultry","2800"
"Fresno","California","09-15-2022","Commercial Broiler Breeder","15900"
"Summit","Ohio","09-15-2022","WOAH Non-Poultry","6"
"Otter Tail","Minnesota","09-14-2022","Commercial Turkey Breeder Hens","7900"
"Allen","Ohio","09-14-2022","WOAH Non-Poultry","2"
"Williams","Ohio","09-14-2022","WOAH Non-Poultry","60"
"Meeker","Minnesota","09-14-2022","Commercial Turkey Meat Bird","61400"
"Isanti","Minnesota","09-14-2022","WOAH Non-Poultry","4"
"Ingham","Michigan","09-13-2022","WOAH Poultry","20"
"Stearns","Minnesota","09-13-2022","Commercial Turkey Meat Bird","69400"
"Brown","Minnesota","09-13-2022","Commercial Turkey Meat Bird","43700"
"Sanpete","Utah","09-13-2022","Commercial Turkey Meat Bird","5800"
"Freeborn","Minnesota","09-13-2022","WOAH Non-Poultry","320"
"Twin Falls","Idaho","09-12-2022","WOAH Non-Poultry","40"
"El Dorado","California","09-09-2022","WOAH Non-Poultry","150"
"Becker","Minnesota","09-09-2022","Commercial Turkey Breeder Hens","17100"
"Fresno","California","09-09-2022","Commercial Broiler Breeder","23900"
"Meeker","Minnesota","09-08-2022","Commercial Turkey Meat Bird","34200"
"Morrison","Minnesota","09-07-2022","Commercial Turkey Meat Bird","50200"
"Defiance","Ohio","09-03-2022","Commercial Table Egg Layer","3748500"
"Ashland","Ohio","09-03-2022","WOAH Non-Poultry","640"
"Washington","Wisconsin","09-02-2022","WOAH Poultry","120"
"Elkhart","Indiana","09-01-2022","WOAH Poultry","260"
"Hennepin","Minnesota","09-01-2022","WOAH Non-Poultry","10"
"Cass","North Dakota","09-01-2022","WOAH Non-Poultry","6"
"Tuolumne","California","09-01-2022","Commercial Turkey Meat Bird","30800"
"Fresno","California","09-01-2022","Commercial Broiler Breeder","22900"
"Sacramento","California","09-01-2022","WOAH Non-Poultry","20"
"Sacramento","California","08-30-2022","Commercial Turkey Meat Bird","97000"
"Tuolumne","California","08-30-2022","Commercial Turkey Meat Bird","91000"
"Tuolumne","California","08-30-2022","Commercial Turkey Meat Bird","7400"
"Meeker","Minnesota","08-30-2022","Commercial Turkey Meat Bird","52000"
"Meeker","Minnesota","08-30-2022","Commercial Turkey Meat Bird","126400"
"Caroline","Virginia","08-29-2022","WOAH Non-Poultry","110"
"Tuolumne","California","08-26-2022","Commercial Turkey Meat Bird","161700"
"Fresno","California","08-26-2022","Commercial Broiler Breeder","34800"
"Cowlitz","Washington","08-26-2022","WOAH Non-Poultry","20"
"Pierce","Washington","08-25-2022","WOAH Non-Poultry","70"
"Weber","Utah","08-24-2022","WOAH Non-Poultry","20"
"Contra Costa","California","08-23-2022","WOAH Non-Poultry","60"
"Fresno","California","08-22-2022","Commercial Broiler Breeder","33900"
"Henry","Georgia","08-22-2022","WOAH Non-Poultry","120"
"Kitsap","Washington","08-19-2022","WOAH Non-Poultry","10"
"Walla Walla","Washington","08-18-2022","WOAH Non-Poultry","2"
"Butte","California","08-16-2022","WOAH Non-Poultry","1100"
"Osceola","Florida","08-16-2022","WOAH Non-Poultry","10"
"Northampton","Pennsylvania","08-11-2022","WOAH Poultry","90"
"Sacramento","California","08-10-2022","WOAH Non-Poultry","40"
"Bethel","Alaska","08-02-2022","WOAH Non-Poultry","20"
"Coos","Oregon","07-28-2022","WOAH Non-Poultry","20"
"Sanpete","Utah","07-26-2022","Commercial Turkey Meat Bird","12700"
"Jefferson","Washington","07-26-2022","WOAH Non-Poultry","80"
"Flathead","Montana","07-26-2022","WOAH Non-Poultry","7"
"Deschutes","Oregon","07-22-2022","WOAH Non-Poultry","120"
"Deschutes","Oregon","07-22-2022","WOAH Non-Poultry","90"
"Deschutes","Oregon","07-21-2022","WOAH Poultry","60"
"Seminole","Florida","07-21-2022","WOAH Non-Poultry","160"
"Deschutes","Oregon","07-19-2022","WOAH Poultry","100"
"Snohomish","Washington","07-19-2022","WOAH Poultry","340"
"Sanpete","Utah","07-19-2022","Commercial Turkey Meat Bird","23300"
"Deschutes","Oregon","07-15-2022","WOAH Poultry","60"
"Sanpete","Utah","07-14-2022","Commercial Turkey Meat Bird","15500"
"Deschutes","Oregon","07-12-2022","WOAH Poultry","100"
"Carson City","Nevada","07-07-2022","WOAH Non-Poultry","40"
"Jefferson","Washington","07-06-2022","WOAH Non-Poultry","20"
"Linn","Oregon","07-06-2022","WOAH Non-Poultry","40"
"Salt Lake","Utah","07-01-2022","WOAH Non-Poultry","20"
"King","Washington","07-01-2022","WOAH Poultry","220"
"Kitsap","Washington","07-01-2022","WOAH Non-Poultry","6"
"Yakima","Washington","06-29-2022","WOAH Non-Poultry","6"
"Cumberland","Maine","06-29-2022","WOAH Non-Poultry","20"
"Pierce","Washington","06-24-2022","WOAH Non-Poultry","50"
"King","Washington","06-22-2022","WOAH Non-Poultry","9"
"King","Washington","06-22-2022","WOAH Non-Poultry","3"
"Yakima","Washington","06-22-2022","WOAH Non-Poultry","90"
"Snohomish","Washington","06-22-2022","WOAH Non-Poultry","200"
"Yakima","Washington","06-14-2022","WOAH Non-Poultry","30"
"Salt Lake","Utah","06-13-2022","WOAH Non-Poultry","70"
"Snohomish","Washington","06-09-2022","WOAH Non-Poultry","30"
"Allen","Indiana","06-09-2022","WOAH Non-Poultry","40"
"Weld","Colorado","06-09-2022","Commercial Table Egg Pullets","205000"
"Snohomish","Washington","06-09-2022","WOAH Non-Poultry","9"
"Yakima","Washington","06-09-2022","WOAH Non-Poultry","70"
"Polk","Oregon","06-08-2022","WOAH Non-Poultry","90"
"Allen","Indiana","06-07-2022","WOAH Poultry","110"
"Weld","Colorado","06-07-2022","Commercial Table Egg Layer","1936800"
"King","Washington","06-07-2022","WOAH Poultry","50"
"Mchenry","North Dakota","06-06-2022","WOAH Poultry","30"
"Snohomish","Washington","06-02-2022","WOAH Non-Poultry","30"
"Berks","Pennsylvania","06-02-2022","Commercial Duck Meat Bird","30100"
"Toombs","Georgia","06-01-2022","WOAH Non-Poultry","490"
"Becker","Minnesota","05-31-2022","WOAH Non-Poultry","40"
"Snohomish","Washington","05-27-2022","WOAH Non-Poultry","40"
"King","Washington","05-25-2022","WOAH Non-Poultry","20"
"King","Washington","05-24-2022","WOAH Non-Poultry","180"
"King","Washington","05-24-2022","WOAH Non-Poultry","7"
"Ada","Idaho","05-24-2022","WOAH Non-Poultry","30"
"Bayfield","Wisconsin","05-23-2022","WOAH Non-Poultry","40"
"Berks","Pennsylvania","05-23-2022","Commercial Duck Breeder","4700"
"Dakota","Minnesota","05-21-2022","Commercial Turkey Meat Bird","54400"
"Ada","Idaho","05-20-2022","WOAH Non-Poultry","7"
"Polk","Minnesota","05-20-2022","WOAH Non-Poultry","50"
"Campbell","Wyoming","05-20-2022","WOAH Non-Poultry","30"
"Codington","South Dakota","05-20-2022","WOAH Poultry","80"
"Ada","Idaho","05-19-2022","WOAH Non-Poultry","30"
"Canyon","Idaho","05-19-2022","WOAH Non-Poultry","10"
"Jefferson","Colorado","05-19-2022","WOAH Non-Poultry","10"
"Canyon","Idaho","05-19-2022","WOAH Non-Poultry","10"
"Ada","Idaho","05-19-2022","WOAH Poultry","70"
"Allen","Indiana","05-19-2022","WOAH Non-Poultry","7"
"Berks","Pennsylvania","05-18-2022","Commercial Duck Breeder","7200"
"Kandiyohi","Minnesota","05-18-2022","Commercial Turkey Breeder Toms","4700"
"Ada","Idaho","05-18-2022","WOAH Non-Poultry","6"
"Canyon","Idaho","05-18-2022","WOAH Poultry","6"
"Canyon","Idaho","05-18-2022","WOAH Poultry","160"
"Clay","Minnesota","05-18-2022","WOAH Non-Poultry","20"
"Canyon","Idaho","05-18-2022","WOAH Non-Poultry","10"
"Boone","Illinois","05-17-2022","WOAH Non-Poultry","20"
"Burke","North Dakota","05-17-2022","WOAH Non-Poultry","50"
"Canyon","Idaho","05-17-2022","WOAH Poultry","30"
"Lane","Oregon","05-17-2022","WOAH Poultry","450"
"Canyon","Idaho","05-17-2022","WOAH Poultry","30"
"Monmouth","New Jersey","05-17-2022","WOAH Poultry","60"
"Salt Lake","Utah","05-17-2022","WOAH Non-Poultry","30"
"Thurston","Washington","05-17-2022","WOAH Non-Poultry","410"
"Canyon","Idaho","05-17-2022","WOAH Non-Poultry","50"
"Ada","Idaho","05-17-2022","WOAH Poultry","9"
"Berks","Pennsylvania","05-17-2022","Commercial Table Egg Layer","79000"
"Ada","Idaho","05-17-2022","WOAH Non-Poultry","20"
"Dunn","Wisconsin","05-16-2022","WOAH Non-Poultry","150"
"Berks","Pennsylvania","05-14-2022","Commercial Table Egg Breeder","83700"
"Canyon","Idaho","05-13-2022","WOAH Non-Poultry","9"
"Lincoln","Wyoming","05-13-2022","WOAH Non-Poultry","40"
"Marinette","Wisconsin","05-13-2022","WOAH Non-Poultry","90"
"Ada","Idaho","05-13-2022","WOAH Non-Poultry","60"
"Barron","Wisconsin","05-13-2022","Commercial Turkey Meat Bird","10500"
"Sheridan","Wyoming","05-13-2022","WOAH Non-Poultry","20"
"Okanogan","Washington","05-12-2022","WOAH Non-Poultry","20"
"Whatcom","Washington","05-12-2022","WOAH Non-Poultry","80"
"Grant","Minnesota","05-12-2022","WOAH Non-Poultry","310"
